,Gabaergic,Gabaergic,Gabaergic (Lhx5),Gabaergic,Astrocytes (Sparc and Sox9),"Granule neurons (Neurod1, Selm)",Gabaergic,Gabaergic,"NPC(Id3, Id1","Granule neurons (Neurod1, Selm)",10,"Granule neurons (Selm, pax6, atph1, neurod)","Granule Neurons (Selm, Pax6)","Glutamergic (Atoh1, Barhl1)",14,Gabaergic,"Astrocyte (Sparcl1 and S;c1a3, Id3, Ndrg2)",Erythrocytes (BAMBI)
40,Aplp1,Nefm,Ebf1,Crabp2,Gsta4,Gnai2,Nrxn1,Ebf3,Cnn3,Uchl1,Rpl4,Anp32e,Phlda1,Pkm,Fam46c,Aplp1,Slc25a5,Rps19
41,Evl,Rora,Trp53i11,H3f3b,Rcn1,Spc25,Tspan13,Pafah1b3,Sparc,Nsg1,Ass1,Ube2c,Tmsb4x,Zfp36l1,Chchd10,Nxph4,Rps5,Selm
42,Ebf3,Vstm2b,Prdx2,Gstm7,Sparcl1,Tmpo,Ebf2,Bcl11a,Pcna,Tubb4a,Ypel3,Cdca8,Ppib,Ranbp1,Cox6b2,Kif5c,Eef1g,Gnai2
43,Fez1,Bcl11a,Slc25a5,Gm17750,Mfap2,Hes5,Cfl1,Gng3,Hes1,Pcsk1n,Prss23,Fkbp3,Elavl2,Naca,Cited4,Dpysl3,Rplp0,Ndufa4l2
44,Pafah1b3,Ppp2r2b,Scrt1,Celf4,Rpl13,2810417H13Rik,Calm3,Mapt,Rps3,Cirbp,Msx3,Hnrnpu,Atoh1,Mfap4,Neat1,Ttc3,Rps8,Ostf1
45,Actl6b,Zfp428,Uncx,Ndn,Rpl41,Ccna2,Elmo1,Dpysl3,Siva1,Neurod1,Trp53i11,Paics,Scrn1,Sp5,Trim10,Pcsk1n,Calm1,Egfl7
46,Nxph4,Mapt,Rnd2,Nsg1,Mdk,Rps19,Pcsk1n,Ncam1,Rps8,Elavl2,Fxyd6,Tyms,Igfbp5,Eef1g,Htatip2,Islr2,Rgma,Foxf2
47,Kctd1,Tfap2a,Ddah2,Ptms,Rprm,Pfn1,Fgf15,Slc32a1,Rps24,Gdi1,E130114P18Rik,Rpl14,Ccnd2,Ran,Ptp4a3,Elavl3,Cspg5,Prkar1a
48,Snrpn,Fam57b,Mxra7,Hist3h2a,Gm3764,Smc4,Rac3,Sox4,Cdk4,Syt4,Vps37b,Pkm,Cplx2,Prdx1,Gpx1,Pafah1b3,Rpl4,Rpl37a
49,Aldoa,Lypd1,1700025G04Rik,Nnat,Qk,Tacc3,Nefm,Mab21l1,Rps11,Evl,Rgs3,Tmpo,Pcbp4,Rhob,H2-T23,Sox11,Spcs2,Slc3a2
50,Tubb5,Hist3h2ba,Tcf4,Pcsk1n,Plpp3,H1f0,Crmp1,Zfp428,Hmgb2,Tbr1,Hes5,Snrpg,Vat1,Rpl39,Tspo2,Snrpn,mt-Nd2,Fth1
51,Vamp2,Stmn4,Actb,Tubb2a,Eno1,Fkbp3,Khdrbs2,Ftl1,Gnai2,Vat1,Tcf12,G3bp1,Lingo1,Fst,Mpp1,Rbms1,Sparcl1,Rhoj
52,Tle1,Runx1t1,Hdac2,Fdps,Rps14,Npm1,Calm2,Actl6b,Paics,Serf1,Serpine2,Ccna2,A930017K11Rik,Hspe1,2810030D12Rik,H3f3b,Rps14,Igfbp4
53,Fam57b,Ndn,Fabp5,Calm1,Mif,Hnrnpf,Actl6b,Xpr1,Nfib,Dner,Prdx6,Ybx1,Epha5,Cnbp,Rbm38,Evl,Eno1,Nrarp
54,Mapt,Uchl1,Fscn1,Gm1673,Psat1,Ldha,Actb,H3f3b,Rps10,Marcksl1,Nhlh1,Srsf7,Rps11,Eif3f,Rec114,Mpped2,Npm1,Vtn
55,Dok5,Cttnbp2,Sox4,Prdx2,Cntfr,Rplp0,Dusp26,Gad2,Rps4x,Mab21l1,Igsf8,Smc4,Ddit4,Rps15,Ftl1,Nrxn1,Rpl39,Ifitm3
56,Gbx2,Tspan13,Mllt11,Msmo1,Prss23,Rrm2,Rab3a,Rac3,Phgdh,Ube2e3,Lmo1,Rbbp7,Pde1c,Rps10,Ell2,Tubb2a,Rpl32,Rps9
57,Jun,Podxl2,Crmp1,Cdk5r1,Nrarp,Rpl14,Gap43,Rbfox2,Eef1d,Sncb,Rpl8,Sp5,B3galt2,Vps37b,Xk,Gm1673,Pdpn,Anxa6
58,Gdi1,Gm26793,Nkain4,Lhx5,H2afv,Lmnb1,Aplp1,Atp1b1,Sfrp2,Cd200,Rps26,Mcm6,Chd7,Rplp1,Pla2g16,Nrgn,Marcks,Vasp
59,Atat1,Crmp1,Gdi1,Crmp1,Rgma,Tubb4b,Mapt,Rnf187,Pfn1,Tsc22d1,Sox11,Pabpc1,Cited2,Mycl,Smim1,Crmp1,Psat1,Slc7a5
60,Uchl1,Nrp2,Ppp2r2b,Dner,Vcam1,Sfrp2,Brinp3,Kif5c,Rrm2,Rprm,Dll1,Dctpp1,Hsp90ab1,Rps28,Hbq1a,Nrep,Hes1,Junb
