,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
77,A830082K12Rik,Eef1d,Chd3os,Mrps11,Hnrnpf,Tenm2,Gng3,Alg2,Plat,Rps24,Skor1,Elavl2,Mfng,Ift57,Gnb2,Hnrnpf,Adgrg1,Vamp8,Actr3b
78,Cyth2,Tcf3,Nrsn1,Elavl4,Tpi1,Rab3a,Dynll2,Rufy3,Gstm1,Tpm4,Ddx5,Chd7,Elavl1,Tmeff2,Gm1673,Mrfap1,Tcf4,Ost4,Plxnb1
79,Sybu,Snrpb,Actl6b,Scrt1,Rps20,Dpysl3,En1,Pafah1b3,Irx5,Serbp1,Cotl1,Kcnk1,Rps15,Cdh9,Klf7,Rpl22,Neurod6,Lmna,Spata5
80,Ttc9b,Ccna2,Cpe,Slc32a1,Eef1d,Dynlrb1,Aplp1,Ralyl,Fam181b,Nap1l1,Atp6v0e,Ddx5,Glrx3,Crmp1,Rbfox2,Snrpg,Robo3,Rpl37,Cox6b2
81,Snap47,Psat1,Kif5c,Ptms,Gpx8,Sms,Dynlrb1,Fam57b,Mif,Rfc4,Sst,Hs3st5,Msi1,Spock1,Aes,Tcf3,Gdi1,Slc9a3r2,Ssx2ip
82,Islr2,Elavl1,Ncam1,Neurod2,Fgfr1,Fam20c,Zcchc12,Rac3,E130114P18Rik,Actl6a,Smarca5,Spint2,Kcnq1ot1,Ppp1r1a,Aldoa,Apex1,Racgap1,Lgals1,Nup153
83,Crmp1,G3bp1,Vamp2,Nsg1,Mrps14,Atat1,Ppp1r1a,Mab21l1,Eef1d,Rrm1,Tcf12,Rcor2,Nkd1,Zcchc12,Synpr,Elavl1,3632451O06Rik,Pdgfrb,Arnt
84,Mab21l2,Eno1,Syt16,Tspan13,Hspe1,Tubb4a,Cdh9,Cdkn1a,Aldh1l1,Cenpm,Maged2,Tcf4,Mfap4,Mgat4c,Jund,Gm16701,Map2,Cox8a,Prr14l
85,Cd24a,Pcbp2,Thra,Celf3,Anp32b,Lbh,Khdrbs2,Asic4,Hs3st1,Tk1,Robo3,Aplp2,Nhlh1,Atp6v0b,Rab6a,Gm10263,Mapk8ip1,Apod,Dlg1
86,Zic1,Nfib,Arxes2,Atpif1,Nkain4,Rundc3a,Zfp428,Nxph4,Crip2,Prdx6,Csrp1,Laptm4a,Grb10,Elavl3,Zwint,Mif,Cd1d1,Ppp1r2,Ftl1
